Ranking;Name;Year;Minutes;Genre;Rating;Votes;Gross
343;Halloween;1978;91;Horror, Thriller;7,7;282,52;$47,00M
344;Fantastic Mr, Fox;2009;87;Animation, Adventure, Comedy;7,9;233,69;$21,00M
345;The Help;2011;146;Drama;8,1;460,11;$169,71M
346;Dazed and Confused;1993;103;Comedy;7,6;185,43;$7,99M
347;The Nightmare Before Christmas;1993;76;Animation, Family, Fantasy;7,9;341,31;$75,08M
348;In the Mood for Love;2000;98;Drama, Romance;8,1;150,94;$2,73M
349;The Iron Giant;1999;86;Animation, Action, Adventure;8,1;199,25;$23,16M
350;Avengers Assemble;2012;143;Action, Adventure, Sci-Fi;8,0;1,388,848;$623,28M
351;Forbidden Planet;1956;98;Adventure, Sci-Fi;7,5;50,06;$3,00M
352;Nausicaä of the Valley of the Wind;1984;117;Animation, Adventure, Sci-Fi;8,0;170,19;$0,50M
353;Letters from Iwo Jima;2006;141;Action, Adventure, Drama;7,9;163,74;$13,76M
354;Hero;2002;120;Action, Adventure, Drama;7,9;182,20;$53,71M
355;Paris, Texas;1984;145;Drama;8,1;107,29;$2,18M
356;Fanny and Alexander;1982;188;Drama;8,1;64,19;$4,97M
357;Mystic River;2003;138;Crime, Drama, Mystery;7,9;457,86;$90,14M
358;Baby Driver;2017;113;Action, Crime, Drama;7,6;538,45;$107,83M
359;Snatch;2000;104;Comedy, Crime;8,2;855,66;$30,33M
360;Warrior;2011;140;Action, Drama, Sport;8,2;473,29;$13,66M
361;Sling Blade;1996;135;Drama;8,0;94,66;$24,48M
362;Underground;1995;170;Comedy, Drama, Fantasy;8,1;58,84;$0,17M
363;Cat on a Hot Tin Roof;1958;108;Drama;7,9;50,18;$17,57M
364;Elite Squad;2007;115;Action, Crime, Drama;8,0;104,86;$0,01M
365;V for Vendetta;2005;132;Action, Drama, Sci-Fi;8,2;1,121,380;$70,51M
366;Le Samouraï;1967;105;Crime, Drama;8,0;52,23;$0,04M
367;Spider-Man: Into the Spider-Verse;2018;117;Animation, Action, Adventure;8,4;526,11;$190,24M
368;Spring, Summer, Fall, Winter,,, And Spring;2003;103;Drama, Romance;8,0;83,56;$2,38M
369;The Legend of 1900;1998;169;Drama, Music, Romance;8,0;65,01;$0,26M
370;About Elly;2009;119;Drama, Mystery;7,9;53,96;$0,11M
371;Adaptation,;2002;115;Comedy, Drama;7,7;193,91;$22,25M
372;Lady Bird;2017;94;Comedy, Drama;7,4;291,89;$48,96M
373;Dances with Wolves;1990;181;Adventure, Drama, Western;8,0;266,65;$184,21M
374;Rififi;1955;118;Crime, Drama, Thriller;8,1;34,77;$0,06M
375;Logan;2017;137;Action, Drama, Sci-Fi;8,1;762,00;$226,28M
376;Elite Squad 2: The Enemy Within;2010;115;Action, Crime, Drama;8,0;83,61;$0,10M
377;3-Iron;2004;88;Crime, Drama, Romance;7,9;55,66;$0,24M
378;Sherlock Jr,;1924;45;Action, Comedy, Romance;8,2;50,68;$0,98M
379;Ace in the Hole;1951;111;Drama, Film-Noir;8,1;36,48;$3,97M
380;Edge of Tomorrow;2014;113;Action, Adventure, Sci-Fi;7,9;678,97;$100,21M
381;Star Trek;2009;127;Action, Adventure, Sci-Fi;7,9;604,64;$257,73M
382;Harry Potter and the Prisoner of Azkaban;2004;142;Adventure, Family, Fantasy;7,9;633,99;$249,36M
383;Bambi;1942;69;Animation, Adventure, Drama;7,3;144,34;$102,80M
384;Moon;2009;97;Drama, Mystery, Sci-Fi;7,8;360,55;$5,01M
385;Freaks;1932;64;Drama, Horror;7,8;47,14;$0,63M
386;Twelve Monkeys;1995;129;Mystery, Sci-Fi, Thriller;8,0;619,07;$57,14M
387;Samsara;2011;102;Documentary, Music;8,4;36,30;$2,67M
388;Persepolis;2007;96;Animation, Biography, Drama;8,0;95,53;$4,45M
389;Evil Dead II;1987;84;Comedy, Horror;7,7;166,36;$5,92M
390;Who Framed Roger Rabbit;1988;104;Animation, Adventure, Comedy;7,7;202,88;$156,45M
391;Serenity;2005;119;Action, Adventure, Sci-Fi;7,8;297,16;$25,51M
392;Monsters, Inc,;2001;92;Animation, Adventure, Comedy;8,1;907,92;$289,92M
393;Pink Floyd: The Wall;1982;95;Drama, Fantasy, Music;8,0;81,68;$22,24M
394;Mad Max 2;1981;96;Action, Adventure, Sci-Fi;7,6;182,14;$12,47M
395;Dallas Buyers Club;2013;117;Biography, Drama;7,9;489,61;$27,30M
396;Winter Sleep;2014;196;Drama;8,1;52,06;$0,17M
397;Ex Machina;2014;108;Drama, Sci-Fi, Thriller;7,7;546,19;$25,44M
398;Isle of Dogs;2018;101;Animation, Adventure, Comedy;7,8;170,04;$32,02M
399;Pirates of the Caribbean: The Curse of the Black Pearl;2003;143;Action, Adventure, Fantasy;8,1;1,125,642;$305,41M
400;Kill Bill: Vol, 2;2004;137;Action, Crime, Thriller;8,0;756,70;$66,21M
401;Hunt for the Wilderpeople;2016;101;Adventure, Comedy, Drama;7,8;131,58;$5,20M
402;Zootropolis;2016;108;Animation, Adventure, Comedy;8,0;499,40;$341,27M
403;Song of the Sea;2014;93;Animation, Adventure, Drama;8,0;59,01;$0,86M
404;District 9;2009;112;Action, Sci-Fi, Thriller;7,9;683,12;$115,65M
405;Night of the Living Dead;1968;96;Horror, Thriller;7,8;130,55;$0,09M
406;How to Train Your Dragon;2010;98;Animation, Action, Adventure;8,1;739,80;$217,58M
407;Mission: Impossible - Fallout;2018;147;Action, Adventure, Thriller;7,7;333,54;$220,16M
408;Mirror;1975;107;Biography, Drama;8,0;47,46;$0,18M
409;Shaun of the Dead;2004;99;Comedy, Horror;7,9;559,82;$13,54M
410;The Revenant;2015;156;Action, Adventure, Drama;8,0;803,25;$183,64M
411;Shrek;2001;90;Animation, Adventure, Comedy;7,9;677,30;$267,67M
412;Interstellar;2014;169;Adventure, Drama, Sci-Fi;8,6;1,817,609;$188,02M
413;Minority Report;2002;145;Action, Crime, Mystery;7,6;553,08;$132,07M
414;The Big Sick;2017;120;Comedy, Drama, Romance;7,5;136,49;$42,87M
415;Cinderella;1950;74;Animation, Family, Fantasy;7,3;161,90;$85,00M
416;My Fair Lady;1964;170;Drama, Family, Musical;7,8;96,28;$72,00M
417;Waltz with Bashir;2008;90;Documentary, Animation, Biography;8,0;58,29;$2,28M
418;Ghost in the Shell;1995;83;Animation, Action, Crime;7,9;144,21;$0,52M
419;Chungking Express;1994;102;Comedy, Crime, Drama;8,0;83,11;$0,60M
420;Mommy;2014;139;Drama;8,0;57,66;$3,49M
421;The Prestige;2006;130;Drama, Mystery, Sci-Fi;8,5;1,329,348;$53,09M
422;The Innocents;1961;100;Horror;7,8;31,01;$2,62M
423;Black Swan;2010;108;Drama, Thriller;8,0;767,48;$106,95M
424;Hereditary;2018;127;Drama, Horror, Mystery;7,3;317,04;$44,07M
425;Black Cat, White Cat;1998;127;Comedy, Crime, Romance;8,0;54,33;$0,35M
426;Sleuth;1972;138;Mystery, Thriller;8,0;48,11;$4,08M
427;Coco;2017;105;Animation, Adventure, Comedy;8,4;506,24;$209,73M
428;Predator;1987;107;Action, Adventure, Horror;7,8;424,85;$59,74M
429;Dead Poets Society;1989;128;Comedy, Drama;8,1;491,24;$95,86M
430;Hidden Figures;2016;127;Biography, Drama, History;7,8;231,23;$169,61M
431;The Imitation Game;2014;114;Biography, Drama, Thriller;8,0;769,48;$91,13M
432;Shutter Island;2010;138;Mystery, Thriller;8,2;1,309,105;$128,01M
433;Lincoln;2012;150;Biography, Drama, History;7,3;261,73;$182,21M
434;The Perks of Being a Wallflower;2012;103;Drama;7,9;513,04;$17,74M
435;A Fistful of Dollars;1964;99;Action, Drama, Western;7,9;218,64;$14,50M
436;Zero Dark Thirty;2012;157;Drama, History, Thriller;7,4;302,66;$95,72M
437;American Hustle;2013;138;Crime, Drama;7,2;480,12;$150,12M
438;Rain Man;1988;133;Drama;8,0;515,37;$178,80M
439;Cinderella Man;2005;144;Biography, Drama, Romance;8,0;189,04;$61,65M
440;From Here to Eternity;1953;118;Drama, Romance, War;7,6;47,60;$30,50M
441;Walk the Line;2005;136;Biography, Drama, Music;7,8;252,50;$119,52M
442;The Last Emperor;1987;163;Biography, Drama, History;7,7;104,34;$43,98M
443;The Longest Day;1962;178;Action, Drama, History;7,7;56,46;$39,10M
