Ranking;Name;Year;Minutes;Genre;Rating;Votes;Gross
77;One Flew Over the Cuckoo's Nest;1975;133;Drama;8,7;1,006,194;$112,00M
78;Rebecca;1940;130;Drama, Film-Noir, Mystery;8,1;138,09;$4,36M
79;Selma;2014;128;Biography, Drama, History;7,5;92,11;$52,08M
80;The General;1926;67;Action, Adventure, Comedy;8,2;92,16;$1,03M
81;The Conformist;1970;113;Drama;7,9;31,02;$0,54M
82;Touch of Evil;1958;95;Crime, Drama, Film-Noir;8,0;105,31;$2,24M
83;Annie Hall;1977;93;Comedy, Romance;8,0;266,64;$39,20M
84;The Hurt Locker;2008;131;Drama, Thriller, War;7,5;453,15;$17,02M
85;L,A, Confidential;1997;138;Crime, Drama, Mystery;8,2;583,65;$64,62M
86;Mad Max: Fury Road;2015;120;Action, Adventure, Sci-Fi;8,1;1,000,410;$154,06M
87;Pinocchio;1940;88;Animation, Adventure, Comedy;7,5;148,34;$84,25M
88;The Last Picture Show;1971;118;Drama, Romance;8,0;48,92;$29,13M
89;The Grapes of Wrath;1940;129;Drama;8,1;93,96;$0,06M
90;Mr, Smith Goes to Washington;1939;129;Comedy, Drama;8,1;116,35;$9,60M
91;Patton;1970;172;Biography, Drama, War;7,9;102,93;$61,70M
92;High Noon;1952;85;Drama, Thriller, Western;8,0;105,10;$9,45M
93;Double Indemnity;1944;107;Crime, Drama, Film-Noir;8,3;158,19;$5,72M
94;Forrest Gump;1994;142;Drama, Romance;8,8;2,069,583;$330,25M
95;The Silence of the Lambs;1991;118;Crime, Drama, Thriller;8,6;1,428,301;$130,74M
96;There Will Be Blood;2007;158;Drama;8,2;586,91;$40,22M
97;Die Hard;1988;132;Action, Thriller;8,2;876,06;$83,01M
98;Fargo;1996;98;Crime, Thriller;8,1;678,34;$24,61M
99;American Beauty;1999;122;Drama;8,4;1,153,783;$130,10M
100;The Matrix;1999;136;Action, Sci-Fi;8,7;1,906,995;$171,48M
101;The Bridge on the River Kwai;1957;161;Adventure, Drama, War;8,2;221,72;$44,91M
102;The Best Years of Our Lives;1946;170;Drama, Romance, War;8,1;65,24;$23,65M
103;The Sound of Music;1965;172;Biography, Drama, Family;8,1;235,54;$163,21M
104;Inception;2010;148;Action, Adventure, Sci-Fi;8,8;2,341,880;$292,58M
105;Midnight Cowboy;1969;113;Drama;7,8;111,99;$44,79M
106;Shane;1953;118;Drama, Western;7,6;41,36;$20,00M
107;Intolerance: Love's Struggle Throughout the Ages;1916;163;Drama, History;7,7;15,76;$2,18M
108;Man on Wire;2008;94;Documentary, Biography, Crime;7,7;56,39;$2,96M
109;Battleship Potemkin;1925;75;Drama, History, Thriller;7,9;58,32;$0,05M
110;Anatomy of a Murder;1959;161;Drama, Mystery;8,0;66,99;$11,90M
111;Cool Hand Luke;1967;127;Crime, Drama;8,1;178,24;$16,22M
112;The Usual Suspects;1995;106;Crime, Drama, Mystery;8,5;1,083,575;$23,34M
113;The Shining;1980;146;Drama, Horror;8,4;1,020,153;$44,02M
114;City of God;2002;130;Crime, Drama;8,6;756,10;$7,56M
115;Heat;1995;170;Action, Crime, Drama;8,3;654,49;$67,44M
116;The Big Lebowski;1998;117;Comedy, Crime;8,1;808,44;$17,50M
117;La dolce vita;1960;174;Comedy, Drama;8,0;73,90;$19,52M
118;Fantasia;1940;125;Animation, Family, Fantasy;7,7;97,47;$76,41M
119;No Country for Old Men;2007;122;Crime, Drama, Thriller;8,2;971,26;$74,28M
120;This Is Spinal Tap;1984;82;Comedy, Music;7,9;140,60;$4,74M
121;Three Colours: Red;1994;99;Drama, Mystery, Romance;8,1;103,97;$4,04M
122;Good Will Hunting;1997;126;Drama, Romance;8,3;966,11;$138,43M
123;Federico Fellini's 8½;1963;138;Drama;8,0;118,76;$0,05M
124;Spirited Away;2001;125;Animation, Adventure, Family;8,6;761,18;$10,06M
125;La La Land;2016;128;Comedy, Drama, Music;8,0;587,18;$151,10M
126;West Side Story;1961;153;Crime, Drama, Musical;7,6;114,84;$43,66M
127;The Deer Hunter;1978;183;Drama, War;8,1;340,35;$48,98M
128;M*A*S*H;1970;116;Comedy, Drama, War;7,4;73,81;$81,60M
129;Beauty and the Beast;1991;84;Animation, Family, Fantasy;8,0;455,54;$218,97M
130;The Lives of Others;2006;137;Drama, Mystery, Thriller;8,4;390,24;$11,29M
131;The Artist;2011;100;Comedy, Drama, Romance;7,9;242,17;$44,67M
132;Whiplash;2014;106;Drama, Music;8,5;856,14;$13,09M
133;The King's Speech;2010;118;Biography, Drama, History;8,0;681,47;$138,80M
134;Birdman or (The Unexpected Virtue of Ignorance);2014;119;Comedy, Drama;7,7;630,65;$42,34M
135;Manchester by the Sea;2016;137;Drama;7,8;283,61;$47,70M
136;The Lord of the Rings: The Two Towers;2002;179;Action, Adventure, Drama;8,8;1,661,446;$342,55M
137;Close Encounters of the Third Kind;1977;138;Drama, Sci-Fi;7,6;203,39;$132,09M
138;Brooklyn;2015;117;Drama, Romance;7,5;143,32;$38,32M
139;Million Dollar Baby;2004;132;Drama, Sport;8,1;687,74;$100,49M
140;Das Boot;1981;149;Drama, War;8,4;251,78;$11,49M
141;Hell or High Water;2016;102;Crime, Drama, Thriller;7,6;232,40;$26,86M
142;Ordinary People;1980;124;Drama;7,7;52,92;$54,80M
143;The Pianist;2002;150;Biography, Drama, Music;8,5;830,23;$32,57M
144;Cinema Paradiso;1988;155;Drama, Romance;8,5;261,62;$11,99M
145;His Girl Friday;1940;92;Comedy, Drama, Romance;7,8;59,40;$0,30M
146;Witness for the Prosecution;1957;116;Crime, Drama, Mystery;8,4;126,17;$8,18M
147;Stand by Me;1986;89;Adventure, Drama;8,1;404,76;$52,29M
148;Eternal Sunshine of the Spotless Mind;2004;108;Drama, Romance, Sci-Fi;8,3;1,006,241;$34,40M
149;Amadeus;1984;160;Biography, Drama, Music;8,4;401,72;$51,97M
150;Oldboy;2003;120;Action, Drama, Mystery;8,4;579,18;$0,71M
151;The Lion King;1994;88;Animation, Adventure, Drama;8,5;1,055,462;$422,78M
152;Boyhood;2014;165;Drama;7,9;355,44;$25,38M
153;Argo;2012;120;Biography, Drama, Thriller;7,7;615,72;$136,03M
154;Thelma & Louise;1991;130;Adventure, Crime, Drama;7,5;156,77;$45,36M
155;Manhattan;1979;96;Comedy, Drama, Romance;7,9;141,11;$45,70M
156;The Great Escape;1963;172;Adventure, Drama, History;8,2;245,41;$12,10M
157;Spartacus;1960;197;Adventure, Biography, Drama;7,9;135,86;$30,00M
158;Monty Python and the Holy Grail;1975;91;Adventure, Comedy, Fantasy;8,2;542,24;$1,23M
159;Brazil;1985;132;Drama, Sci-Fi;7,9;201,92;$9,93M
160;Magnolia;1999;188;Drama;8,0;313,90;$22,46M
161;Tootsie;1982;116;Comedy, Drama, Romance;7,4;108,05;$177,20M
162;The Departed;2006;151;Crime, Drama, Thriller;8,5;1,321,691;$132,38M
163;Arrival;2016;116;Drama, Mystery, Sci-Fi;7,9;694,32;$100,55M
164;Casino Royale;2006;144;Action, Adventure, Thriller;8,0;658,34;$167,45M
165;When Harry Met Sally;1989;95;Comedy, Drama, Romance;7,7;222,39;$92,82M
166;Slumdog Millionaire;2008;120;Crime, Drama, Romance;8,0;845,83;$141,32M
167;Blue Velvet;1986;120;Crime, Drama, Mystery;7,7;200,85;$8,55M
168;The King of Comedy;1982;109;Comedy, Crime, Drama;7,8;105,13;$2,50M
169;The Breakfast Club;1985;97;Comedy, Drama;7,8;400,04;$45,88M
170;WALL·E;2008;98;Animation, Adventure, Family;8,4;1,113,514;$223,81M
